pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_count,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,detection_rate,localization_acc,output_affecting_available,output_affecting_prompt_count,output_affecting_detection_rate,output_affecting_reason,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar64,scalar,wrong_shard_output,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.548374
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar64,scalar,scale_perturbation,material_tamper,0.15,200,64,256,0.995,0.995,0,0,,no_logits_or_output_in_capture,C2,1.548374
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar64,scalar,layer_skip,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.548374
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,gaussian,statistical_tamper,0.15,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.818556
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,same_prompt_old_run_replay,material_tamper,,200,64,256,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.818556
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,cross_prompt_stale_substitution,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.818556
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,wrong_shard_output,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.818556
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,scale_perturbation,material_tamper,0.15,200,64,256,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.818556
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,layer_skip,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.818556
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,gaussian,statistical_tamper,0.15,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.927439
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,same_prompt_old_run_replay,material_tamper,,200,128,512,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.927439
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,cross_prompt_stale_substitution,material_tamper,,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.927439
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,wrong_shard_output,material_tamper,,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.927439
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,scale_perturbation,material_tamper,0.15,200,128,512,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.927439
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,layer_skip,material_tamper,,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.927439
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,gaussian,statistical_tamper,0.15,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,2.093856
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,same_prompt_old_run_replay,material_tamper,,200,256,1024,0.0,0.0,0,0,,no_logits_or_output_in_capture,,2.093856
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,cross_prompt_stale_substitution,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,2.093856
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,wrong_shard_output,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,2.093856
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,scale_perturbation,material_tamper,0.15,200,256,1024,0.0,0.0,0,0,,no_logits_or_output_in_capture,,2.093856
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,layer_skip,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,2.093856
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,gaussian,statistical_tamper,0.15,200,16,64,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.398401
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,200,16,64,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.398401
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,200,16,64,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.398401
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,wrong_shard_output,material_tamper,,200,16,64,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.398401
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,scale_perturbation,material_tamper,0.15,200,16,64,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.398401
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,layer_skip,material_tamper,,200,16,64,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.398401
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,gaussian,statistical_tamper,0.15,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.311101
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,same_prompt_old_run_replay,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.311101
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,cross_prompt_stale_substitution,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.311101
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,wrong_shard_output,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.311101
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,scale_perturbation,material_tamper,0.15,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.311101
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,layer_skip,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.311101
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,gaussian,statistical_tamper,0.15,200,64,256,1.0,0.985,0,0,,no_logits_or_output_in_capture,C2,1.543285
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,same_prompt_old_run_replay,material_tamper,,200,64,256,1.0,0.985,0,0,,no_logits_or_output_in_capture,C2,1.543285
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,cross_prompt_stale_substitution,material_tamper,,200,64,256,1.0,0.985,0,0,,no_logits_or_output_in_capture,C2,1.543285
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,wrong_shard_output,material_tamper,,200,64,256,1.0,0.985,0,0,,no_logits_or_output_in_capture,C2,1.543285
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,scale_perturbation,material_tamper,0.15,200,64,256,0.06,0.01,0,0,,no_logits_or_output_in_capture,C3,1.543285
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,layer_skip,material_tamper,,200,64,256,1.0,0.985,0,0,,no_logits_or_output_in_capture,C2,1.543285
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,gaussian,statistical_tamper,0.15,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.655591
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,same_prompt_old_run_replay,material_tamper,,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.655591
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,cross_prompt_stale_substitution,material_tamper,,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.655591
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,wrong_shard_output,material_tamper,,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.655591
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,scale_perturbation,material_tamper,0.15,200,128,512,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.655591
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,layer_skip,material_tamper,,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.655591
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,gaussian,statistical_tamper,0.15,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.801303
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,same_prompt_old_run_replay,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.801303
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,cross_prompt_stale_substitution,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.801303
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,wrong_shard_output,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.801303
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,scale_perturbation,material_tamper,0.15,200,256,1024,0.005,0.005,0,0,,no_logits_or_output_in_capture,C2,1.801303
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,layer_skip,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.801303
